"";"AB"
"MILLER PK, 2016, PSYCHOL SPORT EXERC";"OBJECTIVES: FANDOM UNDERPINS A WIDE RANGE OF FOUNDATIONAL SPORTING ACTIVITIES. THE CORPUS OF PSYCHOLOGICAL RESEARCH ON THE TOPIC REMAINS, HOWEVER, LARGELY CONCERNED WITH (A) PRODUCING OF FORMAL TAXONOMIES OF FANS, AND (B) MAKING THE ANALYTIC DISTINCTION BETWEEN AUTHENTIC ``FANS'' AND MERE ``SPECTATORS.'' THIS WORK IS PREMISED ON THE CLASSICAL BUT PROBLEMATIC SOCIAL-COGNITIVE ASSUMPTION THAT IDENTITY ITSELF BOTH PRECEDES AND (LARGELY) DETERMINES THE MANNER IN WHICH IT IS COMMUNICATED. AS SUCH, THE CORE OBJECTIVE OF THIS PAPER IS TO TAKE PROVISIONAL EMPIRICAL STEPS TOWARDS A FORMAL PSYCHOLOGY OF ``AUTHENTIC'' SPORTING FANDOM THAT DOES NOT REPLICATE THIS TROUBLESOME ASSUMPTION. DESIGN: A DISCURSIVE PSYCHOLOGICAL FRAMEWORK IS USED TO EXPLORE HOW SELF IDENTIFIED SOCCER FANS MAKE ``ROBUST'' CASES FOR THE AUTHENTICITY OF THEIR OWN FAN-IDENTITIES. METHOD: N = 26 UNSTRUCTURED INTERVIEWS ARE ANALYSED TO HIGHLIGHT THE CONSTRUCTIVE AND ATTRIBUTIONAL TECHNIQUES DRAWN UPON BY SPEAKERS WHEN MAKING CASES, AND THE CULTURALLY-AVAILABLE KNOWLEDGES AND CONTEXTUAL REASONING PROCEDURES THAT THESE MAKE APPARENT. RESULTS: THREE MODELS FOR LEGITIMATING FAN-IDENTITY ARE DESCRIBED: (A) LONGITUDINAL ENDURANCE, (B) LOGICAL CHOICE-MAKING AND (C) EMOTIONAL IMPERATIVE. IT IS NOTED HOW KEY ISSUES THAT INFORM SOCIAL-COGNITIVE ANALYSIS ARE ACTUALLY ASSEMBLED AS MEMBERS' CONCERNS IN THE SERVICE OF PERSUASIVELY ACCOUNTING FOR PARTICULAR CLAIMS IN SITU, AND THAT THIS CAN FACILITATE A STRONGER UNDERSTANDING OF THE INTERRELATION BETWEEN SPORTING CULTURE AND SOCIAL IDENTITY ITSELF. CONCLUSIONS: UNTIL A STRONGER DESCRIPTION OF PUBLIC PROCEDURES FOR SELF-IDENTIFICATION IS ADVANCED, ANALYTIC ABSTRACTIONS MADE FOR THE SAKE OF ``CLARITY'' CAN GUARANTEE NO RELEVANCE TO THE SOCIAL PSYCHOLOGICAL LIVES OF EVERYDAY FANS THEMSELVES. (C) 2015 ELSEVIER LTD. ALL RIGHTS RESERVED."
"GARN A, 2016, SPORT PSYCHOL";"GROUNDED IN SCANLAN'S SPORT COMMITMENT MODEL (SCM), THE PURPOSE OF THIS STUDY WAS TO EXPLORE THE RELATIONSHIP BETWEEN FEELINGS OF TEAMMATE ACCEPTANCE AND SPORT COMMITMENT IN A SAMPLE OF ADOLESCENT FEMALE VOLLEYBALL PLAYERS (N = 209). DESPITE THEORETICAL JUSTIFICATION FOR INCLUDING SOCIAL FORMS OF INFLUENCE SUCH AS SOCIAL SUPPORT AND SOCIAL ACCEPTANCE AS DIRECT SOURCES OF SPORT COMMITMENT, EMPIRICAL EVIDENCE HAS NOT BEEN SUPPORTIVE OF THIS ASSOCIATION. THEREFORE, DIRECT AND INDIRECT RELATIONSHIPS BETWEEN TEAMMATE ACCEPTANCE AND SPORT COMMITMENT WITHIN THE SCM WERE TESTED. FINDINGS SUPPORTED THE INDIRECT RELATIONSHIP BETWEEN TEAMMATE ACCEPTANCE AND SPORT COMMITMENT THROUGH SPORT ENJOYMENT, PERSONAL INVESTMENTS, SOCIAL CONSTRAINTS, AND INVESTMENT OPPORTUNITIES, ACCOUNTING FOR 48\% OF THE VARIANCE IN SPORT COMMITMENT. IT APPEARS THAT TEAMMATE ACCEPTANCE MAY BE BETTER SITUATED AS A DISTAL SOURCE OF SPORT COMMITMENT, BUT FURTHER RESEARCH WITH MORE DIVERSE SAMPLES IS NECESSARY. SPORTS PSYCHOLOGISTS WHO CAN COLLECTIVELY HELP ATHLETES, COACHES, AND PARENTS DEVELOP RESPONSIVE INTERPERSONAL SKILLS WHILE REDUCING CORPORAL PUNISHMENT AND AGGRESSION TACTICS CAN FACILITATE GREATER LEVELS OF SOCIAL ACCEPTANCE."
"HALABI AK, 2016, ACCOUNT HIST";"IT IS GENERALLY ACCEPTED BY HISTORIANS THAT IN THE EARLY TWENTIETH CENTURY CLUBS IN AUSTRALIAN FOOTBALL'S VICTORIAN FOOTBALL LEAGUE (VFL) MADE PAYMENTS TO AMATEUR PLAYERS PRIOR TO THE LEGALIZATION OF PROFESSIONALISM AND THAT SUCH PAYMENTS WERE NOT DISCLOSED IN CLUB FINANCIAL REPORTS. PREVIOUSLY, FINANCIAL REPORTS HAVE NOT BEEN USED TO SUPPORT OR REFUTE SUCH CLAIMS. THIS ARTICLE PRESENTS FINDINGS FROM A DETAILED EXAMINATION OF THE FINANCIAL REPORTS AND OTHER RECORDS OF SIX OF THE 10 VFL CLUBS FOR THE YEARS SURROUNDING THE LEGALIZATION OF PROFESSIONAL FOOTBALL IN 1911 (1909-1912). PRIOR TO 1911, MOST CLUBS ENGAGED IN FRAUDULENT FINANCIAL REPORTING PRACTICES BY MISREPRESENTING PLAYER PAYMENTS AS OTHER FORMS OF PERMITTED EXPENDITURES, THUS CONCEALING PROHIBITED REMUNERATIVE PAYMENTS TO PLAYERS WITHIN THEIR FINANCIAL REPORTS. USING ISOMORPHIC INFLUENCES TO EXPLAIN THE REASONS FOR THIS MISREPRESENTATION, WE CONCLUDE THAT THE FINANCIAL REPORTS WERE USED TO LEGITIMATE THE MAJORITY OF CLUBS AS AMATEUR ORGANIZATIONS. COMPETING ISOMORPHIC PRESSURES, PARTICULARLY CONFLICTING COERCIVE FACTORS RELATED TO THE VFL'S PROHIBITION ON PLAYER PAYMENTS AND NORMATIVE PRESSURES ASSOCIATED WITH INCREASING PROFESSIONALISM AMONGST PLAYERS, CONTRIBUTED TO CLUBS ENGAGING IN FRAUDULENT FINANCIAL REPORTING."
"SASS M, 2016, J SPORT ECON";"THIS ARTICLE ANALYZES THE LONG-TERM EFFECTS OF UNION OF EUROPEAN FOOTBALL ASSOCIATIONS (UEFA) FINANCIAL FAIR PLAY ON COMPETITIVE BALANCE USING A MULTIPERIOD ADAPTION OF A PROFESSIONAL TEAM SPORTS MODEL. THIS STUDY ACCOUNTS FOR THE EMPIRICAL FACT THAT A CLUB'S MARKET SIZE IS POSITIVELY AFFECTED BY HISTORIC SUCCESS. AN INCREASINGLY SUCCESSFUL CLUB CAN ATTRACT MORE AND MORE SUPPORTERS AND THUS YIELD HIGHER REVENUES THAT LEAD TO EVEN MORE SUCCESS AND AN EVER-GROWING MARKET SIZE. IT IS ARGUED THAT THIS DEVELOPMENT WILL RESULT IN AN UTMOST UNEVEN CONTEST IF SO-CALLED SUGAR DADDIES ARE PREVENTED FROM OVERSPENDING BY FINANCIAL FAIR PLAY AND THUS CANNOT LONGER OUTWEIGH A CLUB'S SMALLER MARKET SIZE."
"NICOLIELLO M, 2016, SPORT BUS MANAG";"PURPOSE - IN 2009, THE UNION OF EUROPEAN FOOTBALL ASSOCIATIONS APPROVED THE FINANCIAL FAIR PLAY (FFP) REGULATIONS. THESE REGULATIONS REFER TO THE REQUIREMENTS OF TRANSPARENCY AND FINANCIAL CONDITIONS FOR FOOTBALL CLUBS PARTICIPATING IN EUROPEAN COMPETITIONS. THE PURPOSE OF THIS PAPER IS TO COMBINE THE MANAGERIAL AND THE ECONOMIC POINTS-OF-VIEW IN ORDER TO UNDERSTAND IF ITALIAN FOOTBALL CLUBS ARE READY TO COMPLY WITH THE NEW FFP RULES. DESIGN/METHODOLOGY/APPROACH - IN THE ANALYSIS, THE AUTHORS FOCUS ON THE MAIN ITALIAN FOOTBALL LEAGUE, SERIE A. USING BUSINESS MODEL ANALYSIS, THE AUTHORS DETERMINE WHAT THE MAIN PROFIT DETERMINANTS OF FOOTBALL ASSOCIATIONS ARE, THROUGH PANEL DATA FOR 15 CLUBS FROM 2011-2013. THE AUTHORS THEN TRY TO MATCH THE STATISTICAL AND MANAGERIAL APPROACH. FINDINGS - THE RESULTS SHOW THAT THE KEY CONTRIBUTING FACTORS TO PROFITS ARE ON THE COSTS SIDE. IN PARTICULAR, THE MOST RELEVANT EXPENSES ARE PLAYER WAGES. THE CORE REVENUE FOR CLUBS COMES FROM THE NET PROFIT FROM PLAYER TRADING, WHILE OTHER INCOME, SUCH AS TV RIGHTS, COMMERCIAL AND MATCH-DAY PROCEEDS, HAVE NO STATISTICAL SIGNIFICANCE FOR PROFIT FORMATION. RESEARCH LIMITATIONS/IMPLICATIONS - THE MAIN LIMITATION OF THE ANALYSIS IS THAT THE SURVEY REGARDED ONLY ON ITALIAN CHAMPIONSHIP. SO IT IS DEEPLY INFLUENCED BY THE COMPETITIVE STRUCTURE OF THE ITALIAN LEAGUE THAT IS DIFFERENT FROM THAT OF OTHER EUROPEAN LEAGUES. THEREFORE, THE AUTHORS THINK THAT THE FUTURE DEVELOPMENTS OF THIS WORK COULD BE THE EXAMINATION OF ANOTHER EUROPEAN CHAMPIONSHIP, FOR EXAMPLE, ENGLISH PREMIER LEAGUE, AND THE COMPARED ANALYSIS OF ITALIAN LEAGUE AND OTHER EUROPEAN ONE. PRACTICAL IMPLICATIONS - THERE IS A CLOSE-LINK BETWEEN COSTS AND PROFITABILITY, AND ESPECIALLY BETWEEN EXPENDITURE ON PLAYERS AND THE ABILITY TO CLOSE THE FINANCIAL YEAR WITH A PROFIT. CLUBS MUST ADDRESS THE ISSUE OF PLAYER WAGES IN ORDER TO FOLLOW A PATH OF ECONOMIC RECOVERY TOWARDS PROFITABILITY. ORIGINALITY/VALUE - IN THE WORK THE AUTHORS PUT TOGETHER MANAGERIAL POINT OF VIEW AND ECONOMICAL ONE, IN ORDER TO UNDERSTAND HOW FFP CAN IMPACT ON PROFITABILITY OF FOOTBALL CLUBS. THE AUTHORS USE AN EMPIRICAL ECONOMETRICS MODEL TO TEST THE HYPOTHESIS ABOUT BUSINESS MODEL OF ITALIAN CLUBS."
"LAMPERD W, 2016, COMP EXERC PHYSIOL";"EIGHT INTERNATIONAL RIDERS FROM OLYMPIC EQUESTRIAN DISCIPLINES, PARTICIPATED IN SEMI-STRUCTURED INTERVIEWS INVESTIGATING DEVELOPMENTAL FACTORS WHICH THEY FELT HAD HELPED THEM ACHIEVE AND RETAIN ELITE STATUS. KEY FACTORS WERE PRESENT ACROSS THE VARIABLE RIDER JOURNEYS TO ELITE STATUS. RIDERS DEMONSTRATED A NATURAL APTITUDE FOR HORSE SPORTS, A DESIRE TO LEARN COMBINED WITH EXPOSURE TO ENVIRONMENTS WHICH FOSTERED CONFIDENCE AND SKILL DEVELOPMENT: ACCESS TO ELITE AND DEVELOPMENTAL HORSES, OBSERVING ELITE RIDERS, ACCESS TO COACHES AND PARENTAL SUPPORT. RIDERS CONSISTENTLY QUESTIONED THE STATUS QUO OF THEIR PRACTICE: THROUGH PARTNERSHIPS WITH MULTIPLE HORSES, SELF-DEVELOPMENT AND HORSE-DEVELOPMENT, AND WERE MOTIVATED AND DRIVEN, WITH A CLEAR BELIEF THAT THEY WOULD ACHIEVE SUCCESS; ATTRIBUTES THAT REMAIN ONCE ELITE STATUS WAS ACHIEVED. SUCCESS APPEARS INITIALLY MOTIVATED BY PARTICIPATION IN EQUINE SPORTS FOR FUN AND AS RIDER INVESTMENT WAS REWARDED BY WINNING, WITH ASSOCIATED FINANCIAL BENEFITS. WHEN ELITE STATUS IS ATTAINED, MOTIVATION AND DEFINITIONS OF SUCCESS BECOME FOCUSED MORE UPON THE RELATIONSHIP WITH THEIR HORSE AND THE CONSTANT CHALLENGE OF DEVELOPING THEIR OWN AND THEIR HORSES' SKILLS. ELITE STATUS APPEARS ASSOCIATED WITH A SUCCESSFUL PHILOSOPHY THAT UNDERPINS RIDER' PRACTICE: THE WAY RIDERS' THINK, RIDE, TRAIN AND RUN THEIR BUSINESS, UNDERPINNED BY DISTINCT INDIVIDUAL PHILOSOPHIES. THESE FACTORS COMBINED HELP RIDERS REMAIN SUCCESSFUL AT THE HIGHEST LEVEL OF THEIR SPORT."
"VELAYUTHAM S, 2016, PERSPECT GLOB DEV TECHNOL";"TRANSNATIONAL CAPITALISM HAS BEEN DESCRIBED AS THE EMERGING NEW STAGE OF CAPITALISM CHARACTERIZED BY SHARP INCREASES IN FOREIGN DIRECT INVESTMENT, THE RISE OF A GLOBAL FINANCIAL SYSTEM, AND INCREASED INTERLOCKING OF POSITIONS WITHIN THE GLOBAL CORPORATE STRUCTURE IN MANY COUNTRIES AND INDUSTRIES. THESE HAVE BEEN IDENTIFIED AS SOME EMPIRICAL INDICATORS OF THE TRANSNATIONAL INTEGRATION OF CAPITALISTS. THIS THESIS HAS HOWEVER RARELY BEEN APPLIED TO SPORTS PROBABLY BECAUSE IT COULD BE CONSIDERED THE ANTITHESIS OF TRANSNATIONAL CAPITALISM. FIRST, SPORTS MORE THAN ANY OTHER FORM OF SOCIAL ACTIVITY IS ASSOCIATED WITH NATIONALISM, AND SECOND, SPORT HAS TRADITIONALLY BEEN ASSOCIATED WITH AMATEURISM. THE TRANSFORMATION OF MANCHESTER UNITED FOOTBALL CLUB (MUFC) FROM A LOCAL CLUB TO A TRANSNATIONAL CORPORATION WITHIN THE ENGLISH PREMIER LEAGUE (EPL) IS USED AS AN EXAMPLE OF THE COLONIZATION OF SPORT BY THE TRANSNATIONAL CAPITALIST CLASS (TCC). THE STUDY HIGHLIGHTS A NUMBER OF EMERGING CHARACTERISTICS OF TRANSNATIONAL CAPITALISM. FIRST, THE STUDY POINTS TO THE EMERGENCE OF TRANSNATIONAL CAPITALIST CLASS (TCC) CENTERS WITH LONDON AND ENGLAND AS ONE OF THEM. SECOND, THE STUDY ALSO HIGHLIGHTS THE ROLE OF MODERN TECHNOLOGIES OF COMMUNICATION AND MEDIA, AND BRANDING IN THE EMERGENCE TRANSNATIONAL CAPITALISM."
"MERKEL S, 2016, SPORT BUS MANAG";"PURPOSE - THE PURPOSE OF THIS PAPER IS TO EXPLORE THE FUTURE OF PROFESSIONAL SOCCER BY 2025. SCIENTIFIC FORESIGHT STUDIES ON THIS INDUSTRY DO NOT YET EXIST DESPITE ITS CURRENT POSITION AT A CROSSROADS: TOWARD FURTHER EXPLOITATION OF PROFIT POTENTIAL? OR CLEAR COMMITMENT TO THE TRADITIONAL EUROPEAN MODEL OF SPORT? DESIGN/METHODOLOGY/APPROACH - THE AUTHORS CONDUCTED A DELPHI-BASED SCENARIO STUDY. IN TOTAL, 62 HIGH-LEVEL EXPERTS FROM SPORT, BUSINESS, AND SOCIETY EVALUATED THE PROBABILITY OF OCCURRENCE, IMPACT, AND DESIRABILITY OF 15 FUTURE PROJECTIONS OVER AT LEAST TWO ROUNDS. THE RESULTING 5,940 QUANTITATIVE JUDGMENTS AND 670 QUALITATIVE COMMENTS WERE CONDENSED INTO PROBABLE SCENARIOS AND SURPRISING WILDCARDS. FINDINGS - TWO PROBABLE SCENARIOS FOR EUROPEAN PROFESSIONAL SOCCER BY 2025 EXIST: IN AN EXTRAPOLATION SCENARIO, CLUBS WILL REAP LONG-TERM GAINS FROM FULFILLING PUBLIC DEMANDS REGARDING STADIUM SECURITY, COMPETITIVE BALANCE, AND SOCIAL ENGAGEMENT. THE LESS LIKELY ALTERNATIVE IS AN EXTENSIVE COMMERCIALIZATION, INCLUDING A SHORT-TERM EXPLOITATION OF ALL IMAGINABLE INCOME SOURCES, SUCH AS VIRTUALLY AUGMENTED STADIUMS, FINANCIAL INVESTORS, AND LEAGUE-OWNED BROADCASTING CHANNELS. RESEARCH LIMITATIONS/IMPLICATIONS - THE FINDINGS ARE PRIMARILY BASED ON QUALITATIVE RESEARCH AND AN ALL-GERMAN SAMPLE. FURTHER STUDIES COULD INCORPORATE ADDITIONAL QUANTITATIVE DATA OR MIGHT SURVEY AN INTERNATIONAL PANEL TO INCREASE PREDICTIVE ACCURACY. ORIGINALITY/VALUE - THE PAPER IS NOVEL IN THAT IT EXAMINES A YET UNADDRESSED RESEARCH GAP - THE FUTURE OF PROFESSIONAL SOCCER - WITH A COMMON SCIENTIFIC FORESIGHT METHOD THAT IS ALREADY ESTABLISHED IN SPORT MANAGEMENT RESEARCH - THE DELPHI TECHNIQUE."
"PAUL R, 2016, MANAG FINANC";"PURPOSE - THE PURPOSE OF THIS PAPER IS TO USE FINANCIAL MARKET PRICES FORMED IN BETTING MARKETS AS A MEASURE OF UNCERTAINTY OF OUTCOME AND OTHER FACTORS AS IT RELATES TO HOCKEY ATTENDANCE IN THREE TOP EUROPEAN LEAGUES, THE KHL, SHL, AND LIIGA. THIS IS THE FIRST STUDY OF EUROPEAN HOCKEY TO USE BETTING MARKET ODDS TO ESTIMATE THE IMPACT OF HOME TEAM WIN PROBABILITY AND UNCERTAINTY OF OUTCOME ON ATTENDANCE. DESIGN/METHODOLOGY/APPROACH - THE DESIGN OF THIS STUDY IS A MULTIVARIATE REGRESSION MODEL WITH LOG OF ATTENDANCE AND PERCENTAGE OF ARENA CAPACITY AS DEPENDENT VARIABLES IN TWO SEPARATE REGRESSIONS. CONTROLLING FOR OTHER FACTORS, THE ROLE OF THE HOME TEAM WIN PROBABILITY AND ITS SQUARE ARE EXPLORED FOR INDIVIDUAL GAME ATTENDANCE. FINDINGS - FANS OF THE KHL AND SHL ARE FOUND TO PREFER TO SEE THEIR HOME TEAM WIN, BUT ALSO EXHIBIT STRONG PREFERENCES FOR UNCERTAINTY OF OUTCOME. FANS OF LIIGA PREFER TO SEE THE HOME TEAM WIN, BUT DO NOT EXHIBIT AS STRONG A PREFERENCE FOR UNCERTAINTY OF OUTCOME. THIS DIFFERS FROM RECENT FINDINGS IN THE SPORT OF BASEBALL AND FROM PREVIOUS FINDINGS FOR THE NHL. PRACTICAL IMPLICATIONS - HAVING A COMPETITIVE LEAGUE IS NOT ONLY IMPORTANT FOR TELEVISION RATINGS, BUT ALSO FOR IN-PERSON ATTENDANCE IN THESE EUROPEAN HOCKEY LEAGUES. IMPORTANCE OF UNCERTAINTY OF OUTCOME VARIES ACROSS LEAGUES. ORIGINALITY/VALUE - THE PAPER USES FINANCIAL MARKET PRICES, BETTING MARKET ODDS, AS A MEASURE OF GAME EXPECTATIONS (HOME TEAM WIN PROBABILITY) AND UNCERTAINTY OF OUTCOME AND APPLIES IT TO A NEW SETTING FOR THREE OF THE TOP EUROPEAN HOCKEY LEAGUES. THE FINDINGS ILLUSTRATE THAT UNCERTAINTY OF OUTCOME IS IMPORTANT FOR THE KHL AND SHL, BUT STATISTICALLY INSIGNIFICANT FOR LIIGA."
"KRINGSTAD M, 2016, EUR SPORT MANAG Q";"RESEARCH QUESTION: ALTHOUGH PREVIOUS RESEARCH HAS SHOWN THAT THERE IS AN ASSOCIATION BETWEEN FINANCIAL STRENGTH AND SPORTING OUTCOME, WHEREBY TEAMS WITH LARGER BUDGETED REVENUES TYPICALLY PERFORM BETTER IN SPORTS THAN OTHER TEAMS, THIS WAS NOT SUPPORTED BY A NEWSPAPER ARTICLE DESCRIBING THE 2012 SEASON IN NORWEGIAN FOOTBALL. DRAWING ON THE NORWEGIAN FOOTBALL LEAGUE OVER THE PERIOD 2011-2013, THIS PAPER SETS OUT TO EXPLORE THE ASSOCIATION BETWEEN FINANCIAL STRENGTH AND SPORTING OUTCOME IN DETAIL.RESEARCH METHODS: TO EXAMINE FULLY THE ASSOCIATION BETWEEN FINANCIAL STRENGTH AND SPORTING OUTCOME, A WIDE ARRAY OF DIFFERENT STATISTICAL METHODS IS ADOPTED, RANGING FROM SIMPLE T-TESTS TO REGRESSION ANALYSIS AND FIXED EFFECTS REGRESSION ANALYSIS.RESULTS AND FINDINGS: A DUALITY IS PRESENT IN THE RELATIONSHIP BETWEEN BUDGETED REVENUES AND SPORTING OUTCOME, AS EVIDENCE IS FOUND SUGGESTING THAT BUDGETED REVENUES ARE A SIGNIFICANT DRIVER OF SPORTING OUTCOME AMONG THE BOTTOM-HALF TEAMS BUT NOT AMONG THE TOP-HALF TEAMS. MOREOVER, THE STATIC AND DYNAMIC REGRESSION MODELS, AS WELL AS THE FIXED EFFECTS PANEL DATA MODELS, SUPPORT THE NOTION OF BUDGETED REVENUES BEING A DRIVER OF SPORTING OUTCOME.IMPLICATIONS: THE DUALITY IN THE RESULTS IS ALSO SUPPORTED BY THE FIXED EFFECTS MODELS, INDICATING THAT COMPETITIVE ADVANTAGES OTHER THAN FINANCIAL ADVANTAGES ARE RELEVANT. AN INTERPRETATION OF THESE FINDINGS IS THAT MONEY IS A SIGNIFICANT DRIVER OF SPORTING SUCCESS, BUT ONLY TO A CERTAIN EXTENT (I.E. AVOIDING RELEGATION). IN OTHER WORDS, A FOCUS ON SPORTS IS STILL IMPORTANT (I.E. MONEYBALL)."
"SCHUBERT M, 2016, EUR J SPORT SOC";"UEFA'S FINANCIAL FAIR PLAY (FFP) POLICY REPRESENTS A SEVERE REGULATORY INTERVENTION IN EUROPEAN CLUB FOOTBALL COMPETITIONS. WHILE POTENTIAL OUTCOMES OF THE CONCEPT HAVE BEEN THOROUGHLY ASSESSED, THERE IS LITTLE RESEARCH ON THE GENESIS AND BACKGROUND BEHIND ITS IMPLEMENTATION. THE PRESENT PAPER FILLS THIS GAP BY ANALYZING THE DISCOURSE IN THE RUN-UP TO THE PASSAGE OF FFP. WE FOCUS ON INTERPRETED PRACTICE AND CONTEXT AND ARGUE THAT THE RISING INDEBTEDNESS OF CLUBS AND THEIR INCREASING RELIANCE ON BENEFACTORS WERE A NECESSARY BUT NOT SUFFICIENT REQUIREMENT. FURTHER INGREDIENTS IMPERATIVE FOR THE SUCCESSFUL POLICY DEVELOPMENT WERE CLAIMS-MAKING ACTIVITIES BY INFLUENTIAL ACTORS TO SECURE SUPPORT FOR THEIR PROBLEM PERCEPTION. STRONG DISCOURSE COALITIONS WERE FORMED AROUND POWERFUL STORYLINES, SUCH AS THE INTERPRETATION OF MAKING DEBTS AS `CHEATING' AS WELL AS THE NOTION OF TRADITIONAL SPORTING VALUES BEING UNDERMINED BY FINANCIAL FORCES. BY DETECTING SUCH MECHANISMS OF INTERACTION, THE STUDY HELPS TO BETTER UNDERSTAND THE BELIEFS AND IDEOLOGIES UNDERPINNING THE POLICY. IT FURTHERMORE IDENTIFIES DISCREPANCIES BETWEEN PUBLIC DISCOURSE AND SCHOLARLY DEBATE CONCERNING THE PROBLEM ASSESSMENT AS WELL AS THE PROPOSED SOLUTIONS AND THEIR EFFECTIVENESS. ADDITIONALLY, IT PROPOSES AN IMPROVED HEURISTIC FOR UNDERSTANDING DISCURSIVE PRACTICES WHICH CONTRIBUTES TO FUTURE INVESTIGATIONS OF SOCIAL PROBLEMS IN SPORT."
"BASCH CH, 2016, HEALTH PROMOT PERSPECT";"BACKGROUND: THE PURPOSE OF THIS CROSS-SECTIONAL STUDY WAS TO ENUMERATE AND DESCRIBE VIOLENT AND RISKY BEHAVIORS AS WELL AS OTHER GENERAL HEALTH BEHAVIORS EXHIBITED IN THE ADVERTISEMENTS DURING THE NATIONAL FOOTBALL LEAGUE (NFL) SUPER BOWL 2015. METHODS: COMMERCIALS DURING THE NFL SUPER BOWL 2015 WERE ASSESSED FOR VIOLENT AND RISKY BEHAVIORS. ADDITIONAL HEALTH BEHAVIORS WERE INDICATED SUCH AS THE ADVERTISEMENT OF UNHEALTHY FOOD, PROMOTION OF PHYSICAL ACTIVITY, AND SEXUAL CONTENT. RESULTS: A TOTAL OF 110 COMMERCIALS WERE DOCUMENTED, ACCOUNTING FOR 64 MINUTES OF BROADCAST TIME. COMMERCIALS PROMOTING AUTOMOBILES, TELEVISION SHOWS, FOOD, AND MOVIES WERE THE MOST PREVALENT, REPRESENTING JUST OVER HALF (53.7\%) OF ALL OF THE ADVERTISEMENTS FEATURED. DEPICTIONS OF UNSAFE DRIVING WERE FOUND IN 10.9\% (N = 12) OF THE COMMERCIALS. ALL 12 COMMERCIALS CONTAINED SOME SORT OF RISKY OR WILD DRIVING BEHAVIOR, AND SPEEDING WAS OBSERVED IN 11 OF THE 12 COMMERCIALS. A TOTAL OF 32 (29.1\%) OF THE COMMERCIALS WERE CODED AS INCLUDING VIOLENT CONTENT. PHYSICAL ACTIVITY BEHAVIOR WAS PRESENT IN 3 (2.7\%) OF THE COMMERCIALS. CONVERSELY, SUBSTANCE USE WAS OBSERVED IN 3 (2.7\%) OF THE COMMERCIALS, NONE OF WHICH INCLUDED HEALTH PROMOTION MESSAGING. OF THE 110 COMMERCIALS AIRED DURING THE 2015 SUPER BOWL, 12.7\% (N = 14) INCLUDED SEXUAL CONTENT. CONCLUSION: PARENTS SHOULD CONSIDER THE POSSIBILITY THAT THEIR CHILDREN MAY OBSERVE ACTS OF VIOLENCE OR CONFLICTING SAFETY MESSAGES DURING COMMERCIAL BREAKS."
"KEEFER QAW, 2015, J LABOR RES";"EMPIRICAL STUDIES ON THE INFLUENCE OF SUNK COSTS IN HIGH STAKES DECISIONS HAVE COME TO MIXED CONCLUSIONS. AS OBSERVATIONAL STUDIES HAVE PRIMARILY USED PROFESSIONAL SPORTS LABOR MARKETS, WE ANALYZE THE EFFECT OF SUNK COSTS, PLAYER COMPENSATION, ON THE LABOR UTILIZATION OF DEFENSIVE PLAYERS IN THE NATIONAL FOOTBALL LEAGUE (NFL). OUR ANALYSIS HAS SEVERAL ADVANTAGES. FIRST, WE MEASURE THE DIRECT IMPACT OF INCREASED FINANCIAL COMMITMENT. SECOND, WE ANALYZE THE EFFECT OF SUNK COSTS WHEN FIRMS HAVE ACCURATE AND ABUNDANT PERFORMANCE FEEDBACK; THEREFORE, OUR CONCLUSIONS ARE NOT DRIVEN BY UNCERTAINTY. FINALLY, WE CONTROL FOR POSSIBLE ENDOGENEITY BY USING THE EXOGENOUS VARIATION IN COMPENSATION GENERATED WHEN PLAYERS BECOME ELIGIBLE FOR FREE AGENCY OR CHANGE TEAMS. OUR RESULTS INDICATE SUNK COSTS ARE SIGNIFICANT DETERMINANTS OF PLAYER UTILIZATION. A 15 \% INCREASE IN COMPENSATION HAS AN EQUIVALENT EFFECT ON PLAYING TIME AS AN INCREASE OF FIVE TO ELEVEN SOLO TACKLES, ONE TO TWO INTERCEPTIONS AND TWO TO FIVE AND A HALF SACKS IN THE PREVIOUS SEASON FOR LINEBACKERS, DEFENSIVE BACKS AND DEFENSIVE LINEMEN RESPECTIVELY. FURTHERMORE, THE SUNK-COST FALLACY IS PERSISTENT THROUGHOUT THE ENTIRE CAREER OF AN AVERAGE NFL PLAYER."
